input_text
"O serviço foi rápido e eficiente, estou muito satisfeito."
"Esse livro é inspirador, me fez refletir sobre muitas coisas."
"A qualidade desse produto é excelente, vale cada centavo."
"Que bela paisagem, estou encantado com a vista!"
"O restaurante estava lotado e o serviço foi péssimo."
"Essa música me deixou deprimido, não gostei nada dela."
"Adorei a nova atualização do aplicativo, está mais fácil de usar."
"O filme foi emocionante, chorei do início ao fim."
"A comida estava fria e sem sabor, uma grande decepção."
"Esse jogo é viciante, passei horas jogando sem perceber."
"O atendimento ao cliente foi horrível, fui tratado com descaso."
"Esse lugar é maravilhoso, pretendo voltar várias vezes."
